                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0693,                 3.5104,                 1.5138,                0.61962,                 0.8778,                0.88789,                 0.6149,                 1.3892,                 1.2889,                 1.2486,                      0,                      0,                      0
                      2,                 1.1319,                 2.7844,                 1.4403,                0.59785,                0.89635,                0.88797,                0.62334,                 1.4238,                 1.3013,                 1.2606,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 1.0197,                 2.1251,                 1.2655,                0.56943,                0.83333,                0.87235,                0.62018,                 1.4257,                 1.3318,                 1.2623,              8.092e-07,              8.092e-07,              8.092e-07
