                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.859,                 6.2622,                 4.9437,                      0,                      0,                      0,                      0,                 1.9944,                 5.0754,                 4.1588,                      0,                      0,                      0
                      2,                  3.758,                 6.5085,                 4.5431,                      0,                      0,                      0,                      0,                 1.9944,                 5.0754,                 4.1591,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 3.5286,                 6.9194,                 4.2137,                      0,                      0,                      0,                      0,                 1.9944,                 5.0754,                 4.1578,              8.092e-07,              8.092e-07,              8.092e-07
